home_listing_id,name,availability,price,image[0].url,url,address.addr1,address.city,address.region,address.country,latitude,longitude,property_type,listing_type
7797491,"LOTE EN VENTA EN B° VILLA DEL LAGO, CORDOBA.",for_sale,40000.00 USD,https://static.tokkobroker.com/w_pics/7797491_55762229711241907198839577829865638813905939695401122782027842499764464443759.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797491,Argentina | Cordoba | Punilla | Villa Carlos Paz,,,Argentina | Cordoba | Punilla | Villa Carlos Paz,-31.395837000000000,-64.506947999999994,land,for_sale_by_agent
7797498,SE VENDE LOTE CON EXCELENTES VISTAS,for_sale,45000.00 USD,https://static.tokkobroker.com/w_pics/7797498_92372281070843997902511477381848329075351047693813155671234080943676647491377.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797498,Argentina | Cordoba | Punilla | Villa Parque Siquiman,,,Argentina | Cordoba | Punilla | Villa Parque Siquiman,-31.364583720404109,-64.481182300000000,land,for_sale_by_agent
7797496,"LOTE EN VENTA SOBRE LA RUTA DE SAN ROQUE, CORDOBA.",for_sale,45000.00 USD,https://static.tokkobroker.com/w_pics/7797496_6886680289020695908465482345232928884635408871926332796160284988082673130889.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797496,Argentina | Cordoba | Punilla | Villa Carlos Paz,,,Argentina | Cordoba | Punilla | Villa Carlos Paz,-31.357826899999999,-64.386274799999995,land,for_sale_by_agent
7797501,SE VENDEN TERRENOS EN VILLA CARLOS PAZ,for_sale,50000.00 USD,https://static.tokkobroker.com/w_pics/7797501_102894027095688364568902324157537417095729348136450207417286684386898471427328.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797501,Argentina | Cordoba | Punilla | Villa Carlos Paz | La Quinta,,,Argentina | Cordoba | Punilla | Villa Carlos Paz | La Quinta,-31.425763166001281,-64.515955000000005,land,for_sale_by_agent
7797444,EN VENTA OFICINA EN VILLA CARLOS PAZ,for_sale,55000.00 USD,https://static.tokkobroker.com/w_pics/7797444_2827881082332722965829665710154311464393282314771804918274466853556220649359.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797444,Argentina | Cordoba | Punilla | Villa Carlos Paz,,,Argentina | Cordoba | Punilla | Villa Carlos Paz,-31.411155579549966,-64.483175000000002,other,for_sale_by_agent
7797421,EN VENTA DEPARTAMENTO EN VILLA CARLOS PAZ,for_sale,55000.00 USD,https://static.tokkobroker.com/w_pics/7797421_97806003487484263565853924933277544986665133936400621039126018379932752654217.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797421,Argentina | Cordoba | Punilla | Villa Carlos Paz,,,Argentina | Cordoba | Punilla | Villa Carlos Paz,-31.434065499999999,-64.497266699999997,apartment,for_sale_by_agent
7797396,EN VENTA LOTE VILLA DEL LAGO VILLA CARLOS PAZ,for_sale,58000.00 USD,https://static.tokkobroker.com/w_pics/7797396_88426638427762686262915613963564355174886021192059600104397076329820306791123.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797396,Argentina | Cordoba | Punilla | Villa Carlos Paz | Villa del Lago,,,Argentina | Cordoba | Punilla | Villa Carlos Paz | Villa del Lago,-31.392335874760831,-64.497080999999994,land,for_sale_by_agent
7797489,SE VENDEN TERRENOS EN CARLOS PAZ GOLF COUNTRY,for_sale,60000.00 USD,https://static.tokkobroker.com/w_pics/7797489_68287134493095525079014497513037641626072223418815058131309897216956905795940.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797489,Argentina | Cordoba | Cordoba Capital | San Antonio,,,Argentina | Cordoba | Cordoba Capital | San Antonio,-31.492912700000001,-64.529064399999995,land,for_sale_by_agent
7797506,VENTA TERRENO EN VILLA DEL LAGO VILLA CARLOS PAZ,for_sale,60000.00 USD,https://static.tokkobroker.com/w_pics/7797506_28140065564795255542797645988396151767166026573030147151469501322517491805254.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797506,Argentina | Cordoba | Punilla | Villa Carlos Paz | Villa del Lago,,,Argentina | Cordoba | Punilla | Villa Carlos Paz | Villa del Lago,-31.391104877248427,-64.510295999999996,land,for_sale_by_agent
7797504,SE VENDE LOTE EN COSTA AZUL VILLA CARLOS PAZ,for_sale,60000.00 USD,https://static.tokkobroker.com/w_pics/7797504_98168703579591791016835191820938128002729709299879372742089002849821366467658.jpg,https://www.biderbostgrupodesarrollista.com/Propiedades/7797504,Argentina | Cordoba | Punilla | Villa Carlos Paz,,,Argentina | Cordoba | Punilla | Villa Carlos Paz,-31.391461927350764,-64.458124999999995,land,for_sale_by_agent
